,uplift
200acf1adc,0.0029894022818584
94aa2b62fa,0.05050172115827467
380a51657d,0.028400535363330204
92c12be1d5,-0.0008491876813381261
d5163fac1a,0.03820992212547547
f328b95142,-0.034917130126016716
faa5ea4a0d,0.01834433085387377
50299cd801,0.0015105430467701186
e56d66b07c,0.014949273346544056
0e2bfd04c3,0.019897958281847483
36f3ba9cf8,0.028958717565417236
956f608a04,0.02310254791830435
5a0070f3f3,0.03983363803758255
6bff8fbbc5,0.007843983639288898
6569865384,0.0340662380610256
d863e15731,0.03207107840229939
4c2f17b344,0.00617704806974273
459699018d,0.027708210465496985
77cbadd89a,0.04659069632286039
d218af3372,0.022256196999809852
7bcca2b36f,0.046013119700666016
1569c98c24,0.09438530587344451
b508713396,-0.01030745875477801
d5ddb2335c,0.023611874537746824
5284464162,0.04668233459403581
fe5df5d911,0.041445847087848375
55dc869701,-0.0369882878936858
2255dd5684,0.010056505869096455
a94038c4d9,0.010965068559063873
1b079e287e,0.04467609992436006
aac72eb29a,-0.07947946223616364
e35ea51445,0.03996855302558022
fa8fc494b3,0.009212846726861623
33d67e6a13,0.016232104528270064
eda93847ef,0.008411242756549808
fe71ed2b08,0.00784926778271855
6ca3ae68c4,0.021300681150075773
df6aac1883,0.03056697721161372
45c73e8afc,0.02938995896224872
c8a23288f6,0.01314568560903484
01821d4398,0.0024244513362781106
2ece78b6f2,0.018386330021263997
423effa880,0.04001554856140632
7a7282862e,0.02957859790328643
3377f5afe8,0.011405593280133464
f247aa18d6,0.010875963238327513
ff2a0810df,0.03218074788469927
428a482151,0.016376229354206462
81848f617e,0.033590957024195345
b3e999fe8d,0.026352083098499346
e58b291f0e,0.01313136647464963
850f25dad1,0.023715545692053586
b3e28c5bb0,0.012196106827960684
e6f8efa5c3,0.059020967760499365
063f7185b6,0.035382778982158025
f15302aebe,0.05086017590658887
f81afbb59a,0.043836177254982234
e58e156279,0.04895435442346896
a6050f1664,0.0916103991540842
